"N","500 MAIN STREET          ","                         ","                         ","COLORADO            ","TESTER1@GMAIL.COM                                 ","11/07/2017","11/07/2017","Y","80203     ","TESTER                                  ","               ","DENVER              ","TESTER1@GMAIL.COM                                 ",""
"N","","","","","","","","","","","","","DFISK@FORUMRE.COM",""
"N","","","","","","","","","","","","","DJARASIUS@FORUMRE.COM",""
"N","","","","","","","","","","","","","DMJARASIUS@GMAIL.COM",""
"N","","","","","","","","","","","","","EMAIL@EMAIL.COM",""
"N","","","","","","","","","","","","","ETEST@GMAIL.COM",""
"N","","","","","","","","","","","","","ETEST@TEST.COM",""
"N","","","","","","","","","","","","","FRANCISCO.ESCOBEDO@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","GLENDA.STERLING@FLYDENVER.COM",""
"N","","","","","","","","","","","","","HANSON.TERESA@GMAIL.COM",""
"N","","","","","","","","","","","","","HAPPYPARKER123@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","HAPPYPARKER@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","HAROON.MALIK@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","HH@HH.COM",""
"N","","","","","","","","","","","","","HOON5278@GMAIL.COM",""
"N","","","","","","","","","","","","","IAMANNACONDA@GMAIL.COM",""
"N","","","","","","","","","","","","","II@II.COM",""
"N","","","","","","","","","","","","","J.ARMSTRONG@TEST.COM",""
"N","","","","","","","","","","","","","J@J.COM",""
"N","","","","","","","","","","","","","JACK@BETATEST.COM",""
"N","","","","","","","","","","","","","JACK@EMAIL.COM",""
"N","","","","","","","","","","","","","JACK@TEST.COM",""
"N","","","","","","","","","","","","","JARMSTRONG@AMADEUSCONSULTING.COM",""
"N","","","","","","","","","","","","","JEFFWOLFE@CARPARKUSA.COM",""
"N","","","","","","","","","","","","","JHANGIR10@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","JHANGIR11@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","JHANGIR12@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","JHANGIR3@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","JHANGIR4@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","JHANGIR5@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","JHANGIR6@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","JHANGIR@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","JJ@JJ.COM",""
"N","","","","","","","","","","","","","JKELLER@CARPARKUSA.COM",""
"N","","","","","","","","","","","","","JKELLER@DPPSBOISE.COM",""
"N","","","","","","","","","","","","","JOGDEN@FORUMRE.COM",""
"N","","","","","","","","","","","","","JOHNELWAY@GMAIL.COM",""
"N","","","","","","","","","","","","","KATT77@AOL.COM",""
"N","","","","","","","","","","","","","KFOLTZ@FORUMRE.COM",""
"N","","","","","","","","","","","","","KGEDDES@CARPARKUSA.COM",""
"N","","","","","","","","","","","","","KOSTAS.TRANAKIDIS@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","LARRY.HOLCOMB@JBSSA.COM",""
"N","","","","","","","","","","","","","LDAVIS@FORUMRE.COM",""
"N","","","","","","","","","","","","","LHARMON@CARPARKUSA.COM",""
"N","","","","","","","","","","","","","MAILBOX10@GMAIL.COM",""
"N","","","","","","","","","","","","","MAILBOX1@GMAIL.COM",""
"N","","","","","","","","","","","","","MAILBOX4@GMAIL.COM",""
"N","","","","","","","","","","","","","MAILBOXJP5@GMAIL.COM",""
"N","","","","","","","","","","","","","MAILBOXJP6@GMAIL.COM",""
"N","","","","","","","","","","","","","MALLENCOX@GMAIL.COM",""
"N","","","","","","","","","","","","","MARK@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","MARLYNJHANSON@ICLOUD.COM",""
"N","","","","","","","","","","","","","MM@MM.COM",""
"N","","","","","","","","","","","","","NAV@123.COM",""
"N","","","","","","","","","","","","","NAVEED.SAGHIR@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","NAVEED123@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","NAVEED321@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","NAVEED999@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","NAVEED@123CHAUNTRY.COM",""
"N","","","","","","","","","","","","","NAV_SAGHIR@HOTMAIL.COM",""
"N","","","","","","","","","","","","","NEIL.HOGARTH@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","PARKDIA.ADVISION@GMAIL.COM",""
"N","","","","","","","","","","","","","PARKDIAGM@YAHOO.COM",""
"N","","","","","","","","","","","","","PAUL@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","PAULH@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","PEYTONMANNING@GMAIL.COM",""
"N","","","","","","","","","","","","","PRINCESE1@COMCAST.NET",""
"N","","","","","","","","","","","","","RAUL.ALVAREZ@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","RAY.VAUGHAN@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","RAY@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","REGTEST2@TEST.COM",""
"N","","","","","","","","","","","","","REGTEST3@TEST.COM",""
"N","","","","","","","","","","","","","REGTEST@TEST.COM",""
"N","","","","","","","","","","","","","REMYG@PCCDINING.COM",""
"N","","","","","","","","","","","","","RR@RR.COM",""
"N","","","","","","","","","","","","","RTHOMPSON@CARPARKUSA.COM",""
"N","","","","","","","","","","","","","RUSTY@RULE628.COM",""
"N","","","","","","","","","","","","","S@S.COM",""
"N","","","","","","","","","","","","","SAL123@GMAIL.COM",""
"N","","","","","","","","","","","","","SAL@SAL.COM",""
"N","","","","","","","","","","","","","SALMAN.RASOOL@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","SALMAN@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","SARAH.MCSWEENEY@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","SMITH@GMAIL.COM",""
"N","","","","","","","","","","","","","STEPHEN.PRATI@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","STEVE@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","SUPPORT@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","SZRASOOL@GMAIL.COM",""
"N","","","","","","","","","","","","","SZRASOOL@HOTMAIL.COM",""
"N","","","","","","","","","","","","","SZRASOOL@YAHOO.COM",""
"N","","","","","","","","","","","","","TELICK@FORUMRE.COM",""
"N","","","","","","","","","","","","","TEST1238214728@GMAIL.COM",""
"N","","","","","","","","","","","","","TEST12@TEST.COM",""
"N","","","","","","","","","","","","","TEST13@TEST.COM",""
"N","","","","","","","","","","","","","TEST14@TEST.COM",""
"N","","","","","","","","","","","","","TEST1@TEST.COM",""
"N","","","","","","","","","","","","","TEST2@TEST.COM",""
"N","","","","","","","","","","","","","TEST@EMAIL1.COM",""
"N","","","","","","","","","","","","","TEST@GMAIL.COM",""
"N","","","","","","","","","","","","","TEST@TEST.COM",""
"N","","","","","","","","","","","","","TESTER1@GMAIL.COM",""
"N","","","","","","","","","","","","","TESTER2@GMAIL.COM",""
"N","","","","","","","","","","","","","TESTER4@GMAIL.COM",""
"N","","","","","","","","","","","","","TESTER5@GMAIL.COM",""
"N","","","","","","","","","","","","","TESTING@ASD.COM",""
"N","","","","","","","","","","","","","TESTING@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","TESTINGAGAIN83@MAILCATCH.COM",""
"N","","","","","","","","","","","","","THANSON@FORUMRE.COM",""
"N","","","","","","","","","","","","","TINA@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","TIPPERTONT@GMAIL.COM",""
"N","","","","","","","","","","","","","TROY.WHELAN12@YAHOO.CO.UK",""
"N","","","","","","","","","","","","","TROY.WHELAN@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","TTESTER@TEST.COM",""
"N","","","","","","","","","","","","","VERINDER.SAGOO@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","WALLETTEST@MAILCATCH.COM",""
"N","","","","","","","","","","","","","WYSZ@GMAIL.COM",""
"N","","","","","","","","","","","","","YCAROLINETOKEN@CHAUNTRY.COM",""
"A","PLATTE STREET            ","","","USA                 ","MAILBOXJP6@GMAIL.COM                              ","01/04/2018","02/12/2018"," ","80203     ","PARKERTEST                              ","               ","DENVER              ","MAILBOXJP6@GMAIL.COM                              ","A"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/12/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","F"
"A","PLATTE STREET            ","","","USA                 ","MAILBOXJP6@GMAIL.COM                              ","01/04/2018","02/12/2018"," ","80203     ","PARKERTEST                              ","               ","DENVER              ","MAILBOXJP6@GMAIL.COM                              ","A"
"A","PLATTE STREET            ","","","USA                 ","MAILBOXJP6@GMAIL.COM                              ","01/04/2018","02/12/2018"," ","80203     ","PARKERTEST                              ","               ","DENVER              ","MAILBOXJP6@GMAIL.COM                              ","A"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/13/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","H"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/13/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","F"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/13/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","F"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/13/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","G"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/13/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","I"
"A","MICASA                   ","                         ","                         ","KENTUCKY            ","RAUL.ALVAREZ@CHAUNTRY.COM                         ","02/07/2018","02/13/2018","N","12365     ","ALVAREZ                                 ","               ","READING             ","RAUL.ALVAREZ@CHAUNTRY.COM                         ","A"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/13/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","G"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/13/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","G"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/14/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","I"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/14/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","I"
"N","CCC                      ","                         ","                         ","FLORIDA             ","TINA.MACURA@CHAUNTRY.COM                          ","02/14/2018","02/14/2018","Y","12345     ","MACURA                                  ","               ","MAIDENHEAD          ","TINA.MACURA@CHAUNTRY.COM                          ",""
"N","1351 JACKSON ST          ","                         ","                         ","COLORADO            ","MLUTZ@FORUMRE.COM                                 ","02/14/2018","02/14/2018","Y","80206     ","LUTZ                                    ","               ","DENVER              ","MLUTZ@FORUMRE.COM                                 ",""
"N","1351 JACKSON ST          ","                         ","                         ","COLORADO            ","LUTZ9@ILLINOIS.EDU                                ","02/14/2018","02/14/2018","Y","80206     ","LUTZ                                    ","               ","DENVER              ","LUTZ9@ILLINOIS.EDU                                ",""
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/14/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","G"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/14/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","G"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/15/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","I"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/14/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","G"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/19/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","I"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/19/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","Z"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/19/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","Z"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/19/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","Z"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/19/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","Z"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/19/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","Z"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/19/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","Z"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/19/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","Z"
"N","300 MAIN STREET          ","                         ","                         ","COLORADO            ","JACKSTESTER@EMAIL.COM                             ","02/20/2018","02/20/2018","Y","80222     ","TEST                                    ","               ","DENVER              ","JACKSTESTER@EMAIL.COM                             ",""
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/20/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","G"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/20/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","G"
"N","450 MAIN STREET          ","                         ","                         ","COLORADO            ","TEST@BETA.COM                                     ","02/20/2018","02/20/2018","Y","80220     ","BETAAA                                  ","               ","DENVER              ","TEST@BETA.COM                                     ",""
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/21/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","Z"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/21/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","H"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","03/05/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","Z"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","03/07/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","Z"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","03/07/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","Z"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","03/07/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","Z"
"A","C/O CHAUNTRY             ","                         ","                         ","ALABAMA             ","STEVE@CHAUNTRY.COM                                ","01/22/2018","03/07/2018","Y","12345     ","BROOKING                                ","               ","MAIDENHEAD          ","STEVE@CHAUNTRY.COM                                ","A"
"A","CCCCCCC                  ","                         ","                         ","FLORIDA             ","NAVEED123@CHAUNTRY.COM                            ","08/24/2017","03/07/2018","Y","12345     ","SAGHIR                                  ","               ","FESDFRS             ","NAVEED123@CHAUNTRY.COM                            ","A"
"A","CCCCCCC                  ","                         ","                         ","FLORIDA             ","NAVEED123@CHAUNTRY.COM                            ","08/24/2017","03/07/2018","Y","12345     ","SAGHIR                                  ","               ","FESDFRS             ","NAVEED123@CHAUNTRY.COM                            ","A"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","03/07/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","H"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","03/07/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","H"
"N","500 MAIN STREET          ","                         ","                         ","COLORADO            ","NEW@EMAIL.COM                                     ","03/13/2018","03/13/2018","Y","80203     ","TEST                                    ","               ","DENVER              ","NEW@EMAIL.COM                                     ",""
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","03/14/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","H"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","03/14/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","H"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","03/20/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","H"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","03/20/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","H"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","03/22/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","H"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","03/22/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","H"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","03/30/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","I"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","03/30/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","I"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","03/31/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","I"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","03/31/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","I"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","04/01/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","I"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","04/01/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","I"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","04/01/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","I"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","04/01/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","I"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","04/03/2018","Y","80203     ","PARKDIATEST                             ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","Z"
